country,year,period,HDI Growth (%),growth_avg
Latin America and the Caribbean,1990,1990s,,0.7
Latin America and the Caribbean,1991,1990s,0.771604938,0.7
Latin America and the Caribbean,1992,1990s,0.612557427,0.7
Latin America and the Caribbean,1993,1990s,0.608828006,0.7
Latin America and the Caribbean,1994,1990s,0.756429652,0.7
Latin America and the Caribbean,1995,1990s,0.600600601,0.7
Latin America and the Caribbean,1996,1990s,0.895522388,0.7
Latin America and the Caribbean,1997,1990s,1.035502959,0.7
Latin America and the Caribbean,1998,1990s,0.732064422,0.7
Latin America and the Caribbean,1999,1990s,0.581395349,0.7
Latin America and the Caribbean,2000,2000s,0.722543353,0.7
Latin America and the Caribbean,2001,2000s,0.717360115,0.7
Latin America and the Caribbean,2002,2000s,0.56980057,0.7
Latin America and the Caribbean,2003,2000s,0.708215297,0.7
Latin America and the Caribbean,2004,2000s,0.843881857,0.7
Latin America and the Caribbean,2005,2000s,0.836820084,0.7
Latin America and the Caribbean,2006,2000s,0.829875519,0.7
Latin America and the Caribbean,2007,2000s,0.960219479,0.7
Latin America and the Caribbean,2008,2000s,0.815217391,0.7
Latin America and the Caribbean,2009,2000s,0.134770889,0.7
Latin America and the Caribbean,2010,2010s,0.538358008,0.6
Latin America and the Caribbean,2011,2010s,0.803212851,0.6
Latin America and the Caribbean,2012,2010s,0.664010624,0.6
Latin America and the Caribbean,2013,2010s,0.527704485,0.6
Latin America and the Caribbean,2014,2010s,0.393700787,0.6
Latin America and the Caribbean,2015,2015s,0.261437908,0.3
Latin America and the Caribbean,2016,2015s,0.260756193,0.3
Latin America and the Caribbean,2017,2015s,0.390117035,0.3
Latin America and the Caribbean,2018,2015s,0.259067358,0.3
Latin America and the Caribbean,2019,2015s,0.258397933,0.3
Latin America and the Caribbean,2020,2020s,-1.546391753,0.2
Latin America and the Caribbean,2021,2020s,-0.261780105,0.2
Latin America and the Caribbean,2022,2020s,2.099737533,0.2
Latin America and the Caribbean,2023,2020s,0.642673522,0.2
