country,iso_code_3,low,high,high/low
Bolivia,BOL,40.7,77.4,1.90
Brazil,BRA,69,95.3,1.38
Chile,CHL,95.9,98.9,1.00
Colombia,COL,23.5,83.1,3.50
Costa Rica,CRI,77.9,96.1,1.20
Dominican Republic,DOM,22.2,63.6,2.90
Ecuador,ECU,12,70.3,5.86
El Salvador,SLV,14.9,60,4.03
Guatemala,GTM,0.2,28,140.00
Honduras,HND,23.3,73,3.13
LAC Average,LAC,46.4,84.6,1.80
Mexico,MEX,33.5,85.3,2.50
Nicaragua,NIC,0,7.2,
OECD Average,OECD,82.25,97.74,1.19
Panama,PAN,66,97.8,1.48
Paraguay,PRY,11.8,84.4,7.20
Peru,PER,29,86.2,2.97
Uruguay,URY,53.5,95.1,1.80
"Venezuela, Bolivarian Republic of",VEN,11.9,52.5,4.40
