country,iso_code_3,year,Trust in government,Trust in most people,Trust in community,input1,input2,input3,input4,input5,input6
Argentina,ARG,2008,31.4,19.3,63.76912378,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2009,24,18.7,,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2010,35.8,23.9,64.37861272,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2011,47.8,28.1,,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2012,,,76.7833109,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2013,44.2,25.4,,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2014,,,75.37688442,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2015,32.1,22.4,,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2016,37.2,24,71.61892072,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2017,31.2,19.3,,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2018,22.4,18.3,69.73947896,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2020,22.5,14.9,,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2021,,,61.82853481,22.3,29.6,27.2,15.2,61.82853481,55.8
Argentina,ARG,2023,22.3,27.2,,22.3,29.6,27.2,15.2,61.82853481,55.8
Belize,BLZ,2008,,,57.0754717,,,,,68.49405548,55.8
Belize,BLZ,2010,,,48.57142857,,,,,68.49405548,55.8
Belize,BLZ,2012,,,64.88651535,,,,,68.49405548,55.8
Belize,BLZ,2014,,,68.49405548,,,,,68.49405548,55.8
Bolivia,BOL,2008,49.5,22.3,55.05223514,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2009,50.8,25.6,,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2010,42,18.1,55.84761648,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2011,36.6,19.5,,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2012,,,58.93921941,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2013,39.4,11.3,,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2014,,,56.44414222,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2015,42.2,19.6,,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2016,31.2,15.3,45.95928439,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2017,38.3,10.4,,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2018,33.2,15.3,44.57317073,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2020,24.6,12.5,,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2021,,,45.09030016,28.3,29.6,11.7,15.2,45.09030016,55.8
Bolivia,BOL,2023,28.3,11.7,,28.3,29.6,11.7,15.2,45.09030016,55.8
Brazil,BRA,2008,42.4,8.6,53.87783116,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2009,47,7.5,,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2010,55,10,56.37693238,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2011,39.3,8.6,,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2012,,,64.79491155,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2013,38.6,4.7,,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2014,,,51.7810501,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2015,18.8,7.4,,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2016,9.4,3.3,36.74713054,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2017,8.1,6.8,,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2018,7.1,4.1,40.04034245,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2020,26.8,4.7,,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2021,,,61.72093244,32.3,29.6,3.9,15.2,61.72093244,55.8
Brazil,BRA,2023,32.3,3.9,,32.3,29.6,3.9,15.2,61.72093244,55.8
Chile,CHL,2008,52.5,15.6,60.66666667,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2009,64.4,15.4,,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2010,55.5,17.9,72.7875262,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2011,33.9,16.5,,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2012,,,73.28170207,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2013,33.6,11.8,,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2014,,,77.53452835,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2015,29.2,15.2,,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2016,27.4,12.4,66.05562579,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2017,24.7,20.3,,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2018,37.8,13.6,65.70197044,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2020,17.6,16.5,,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2021,,,60.81698997,35.4,29.6,15.7,15.2,60.81698997,55.8
Chile,CHL,2023,35.4,15.7,,35.4,29.6,15.7,15.2,60.81698997,55.8
Colombia,COL,2008,59.5,14.6,68.31081081,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2009,51.3,19.3,,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2010,47.3,20.2,71.1852861,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2011,36.3,19,,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2012,,,69.11564626,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2013,22.4,15.2,,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2014,,,70.15635622,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2015,25.4,16.7,,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2016,23.4,15.5,62.91262136,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2017,16.9,15.7,,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2018,21.9,20.5,64.50428397,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2020,25.4,13,,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2021,,,56.65926437,26.8,29.6,16.7,15.2,56.65926437,55.8
Colombia,COL,2023,26.8,16.7,,26.8,29.6,16.7,15.2,56.65926437,55.8
Costa Rica,CRI,2008,35.1,23.3,74.89740082,36.9,29.6,10.4,15.2,62.15765277,55.8
Costa Rica,CRI,2009,48.5,21.6,,36.9,29.6,10.4,15.2,62.15765277,55.8
Costa Rica,CRI,2010,44.9,18.6,77.04253883,36.9,29.6,10.4,15.2,62.15765277,55.8
Costa Rica,CRI,2011,40.1,17.6,,36.9,29.6,10.4,15.2,62.15765277,55.8
Costa Rica,CRI,2012,,,74.84745763,36.9,29.6,10.4,15.2,62.15765277,55.8
Costa Rica,CRI,2013,35,14.8,,36.9,29.6,10.4,15.2,62.15765277,55.8
Costa Rica,CRI,2014,,,71.36243386,36.9,29.6,10.4,15.2,62.15765277,55.8
Costa Rica,CRI,2015,26.1,10.5,,36.9,29.6,10.4,15.2,62.15765277,55.8
Costa Rica,CRI,2016,18.4,9.7,69.85094851,36.9,29.6,10.4,15.2,62.15765277,55.8
