country,iso_code_3,input1,input2,Adults (36-65),Older Adults (66+),Young adults (26-35),Youth (18-25)
Argentina,ARG,Similar to,more,38.76698224,37.37373737,37.26708075,40.39735099
Belize,BLZ,Similar to,more,43.7521588,26.53061224,46.59685864,59.13043478
Bolivia,BOL,Similar to,more,38.96747906,35.48387097,48.20512821,52.5
Brazil,BRA,Different from,less,32.07071052,26.71358826,39.11488826,36.70111408
Chile,CHL,Different from,less,43.74843149,38.46153846,49.76525822,36.42384106
Colombia,COL,Different from,less,34.48560663,43.47826087,31.77083333,35.03649635
Costa Rica,CRI,Different from,less,33.77139114,19.04761905,44.50549451,43.67088608
Dominican Republic,DOM,Similar to,more,27.2027972,25,40.09661836,44.31137725
Ecuador,ECU,Similar to,more,52.42713862,41.05183698,60.89329285,66.10125563
El Salvador,SLV,Similar to,more,20.72685185,20.33898305,29.31034483,36.45320197
Guatemala,GTM,Different from,less,44.75923205,41.17647059,52.15053763,45.09803922
Haiti,HTI,Similar to,more,62.16114055,51.30469813,70.89335536,71.44985393
Honduras,HND,Similar to,more,38.90593047,32.72727273,46.875,56.07476636
Jamaica,JAM,Different from,less,49.36016558,31.34328358,58.28571429,46.09929078
Mexico,MEX,Similar to,more,42.06848358,39.50617284,40.83769634,47.48201439
Nicaragua,NIC,Different from,less,36.27565636,16.6025916,55.51619982,46.00141106
Panama,PAN,Similar to,more,34.36833963,22.89156627,54.08805031,55.49132948
Paraguay,PRY,Similar to,more,40.31857655,29.57746479,48.125,56.28742515
Peru,PER,Similar to,more,52.14629212,35.55555556,55.4973822,56.79012346
Suriname,SUR,Similar to,more,31.14487613,29.50819672,42.70833333,61.49068323
Uruguay,URY,Different from,less,16.43312226,13.01369863,31.81818182,24.24242424
LAC Average,LAC,,,39.3,29.7,47.4,49.7
